ID,Hab,Devl,Age,BA,Vol,MainSp,MainPerc
376,4,,0,0,0,0,0
334,4,Y1,15,7.4,54,1,100
336,4,S0,0,0,0,1,0
351,3,Y1,126,34.7,305,1,74
353,4,04,145,35.2,389,1,89
361,4,T2,20,9.9,32,1,83
363,4,03,60,24.8,247,1,80
341,4,T1,11,0.4,1,1,0
339,4,T1,10,0,0,1,0
360,4,03,60,23.1,206,1,99
359,4,03,40,27.9,196,1,99
344,4,03,50,17.3,122,1,100
342,4,03,60,18.7,143,1,99
340,4,03,50,22.5,194,1,100
357,4,03,50,26,191,1,100
354,4,03,45,28.3,222,1,100
358,5,03,60,23.5,228,1,100
347,4,T2,20,10.3,34,1,52
346,4,Y1,15,6.7,53,1,100
345,4,Y1,18,13.4,110,1,65
364,3,05,0,0,0,1,0
356,4,T2,30,9.8,37,1,100
355,4,04,55,27.3,274,1,99
362,4,03,50,27,209,1,99
374,4,04,85,16.2,134,1,100
369,4,04,130,18.2,149,1,90
403,4,04,130,25.2,271,1,100
404,4,T2,25,9.8,34,1,99
366,4,T1,13,5,14,1,83
370,4,04,120,16.2,134,1,100
375,4,04,145,25.1,270,1,100
373,4,04,145,25.1,270,1,100
371,4,03,85,16.2,127,1,99
365,4,T1,16,3.2,9,1,94
350,4,04,145,21,237,1,100
352,4,04,130,18.1,189,1,79
335,3,03,50,25,179,2,91
338,3,05,0,0,0,2,0
343,3,03,50,28.9,224,2,54
348,2,04,60,33.8,373,2,82
337,3,T2,28,8.3,31,3,22
349,2,03,50,24.5,248,3,172
368,3,T1,0,0,0,5,0
367,4,03,35,18,129,1,94
